Vendor Name	Zattoo Europe Ltd.
Start Date	02/27/2022
End Date	03/26/2022
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
03/02/2022	03/02/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	21	10.62	223.02	EUR	14.990	EUR	S				
03/07/2022	03/08/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	4	10.62	42.48	EUR	14.990	EUR	S				
02/28/2022	03/01/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	8	10.62	84.96	EUR	14.990	EUR	S				
03/06/2022	03/06/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	9	10.62	95.58	EUR	14.990	EUR	S				
03/09/2022	03/10/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
03/11/2022	03/12/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	1	10.62	10.62	EUR	14.990	EUR	S				
03/08/2022	03/09/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	-1	10.62	-10.62	EUR	-14.990	EUR	R				
03/05/2022	03/05/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	13	10.62	138.06	EUR	14.990	EUR	S				
03/15/2022	03/16/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
03/18/2022	03/19/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	2	10.62	21.24	EUR	14.990	EUR	S				
03/03/2022	03/04/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	9	10.62	95.58	EUR	14.990	EUR	S				
03/05/2022	03/06/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	6	10.62	63.72	EUR	14.990	EUR	S				
02/27/2022	02/28/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	9	10.62	95.58	EUR	14.990	EUR	S				
02/27/2022	02/27/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	9	10.62	95.58	EUR	14.990	EUR	S				
03/14/2022	03/15/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	3	10.62	31.86	EUR	14.990	EUR	S				
03/12/2022	03/13/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	5	10.62	53.10	EUR	14.990	EUR	S				
03/16/2022	03/17/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	4	10.62	42.48	EUR	14.990	EUR	S				
03/18/2022	03/18/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	10	10.62	106.20	EUR	14.990	EUR	S				
03/17/2022	03/17/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	12	10.62	127.44	EUR	14.990	EUR	S				
03/26/2022	03/26/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	11	10.62	116.82	EUR	14.990	EUR	S				
03/04/2022	03/04/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	14	10.62	148.68	EUR	14.990	EUR	S				
03/13/2022	03/13/2022	1532195216	freetrial.at.zattoo.ios.at.auto.ult.10	freetrial.at.zattoo.ios.at.auto_ult_1499_30		IAY	AT	9	10.62	95.58	EUR	14.990	EUR	S				
